CID	ORF	Gene
	YAL035W	FUN12
	YOR204W	DED1
	YHL034C	SBP1
	YLR197W	SIK1
	YDR064W	RPS13
	YPL012W	RRP12
	YOR096W	RPS7A
	YBL072C	RPS8A
	YNL132W	KRE33
	YGR090W	UTP22
	YDL014W	NOP1
1	YDL209C	CWC2
	YDR243C	PRP28
	YPL213W	LEA1
	YFL017WA	YFL017WA
	YPL151C	PRP46
	YML049C	RSE1
	YOR308C	SNU66
	YDL043C	PRP11
	YHR156C	LIN1
	YDR378C	LSM6
	YGL128C	CWC23
	YGR091W	PRP31
	YPR057W	BRR1
	YBR119W	MUD1
	YOR319W	HSH49
	YDR240C	SNU56
	YDL098C	SNU23
	YLR298C	YHC1
	YMR240C	CUS1
	YHR086W	NAM8
	YIR009W	MSL1
	YLR147C	SMD3
	YDL030W	PRP9
	YGR013W	SNU71
	YOR159C	SME1
	YLR438CA	YLR438CA
	YCR077C	PAT1
	YJL124C	LSM1
	YBR065C	ECM2
	YNL147W	LSM7
	YDR235W	PRP42
	YAL032C	PRP45
	YKL012W	PRP40
	YER172C	BRR2
	YGR075C	PRP38
	YJR022W	LSM8
	YGR129W	SYF2
	YCR063W	BUD31
	YGR074W	SMD1
	YJR084W	CSN12
	YPR178W	PRP4
	YLR275W	SMD2
	YER029C	SMB1
	YDR364C	CDC40
	YLL036C	PRP19
	YER146W	LSM5
	YKR022C	YKR022C
	YDR416W	SYF1
	YHR165C	PRP8
	YPR182W	SMX3
	YDL160C	DHH1
	YGR278W	CWC22
	YBR152W	SPP381
	YBR055C	PRP6
	YNL286W	CUS2
	YBL026W	LSM2
	YMR268C	PRP24
	YBL074C	AAR2
	YPR082C	DIB1
	YJR050W	ISY1
	YIL061C	SNP1
	YJL203W	PRP21
	YDR473C	PRP3
	YDL087C	LUC7
	YMR288W	HSH155
	YLR424W	YLR424W
	YKL173W	SNU114
	YMR213W	CEF1
	YML046W	PRP39
	YER112W	LSM4
	YLR117C	CLF1
	YPR101W	SNT309
	YMR125W	STO1
	YGL120C	PRP43
2	YNL252C	MRPL17
	YOR150W	MRPL23
	YDR237W	MRPL7
	YMR098C	YMR098C
	YNL185C	MRPL19
	YBR282W	MRPL27
	YKL167C	MRP49
	YJL063C	MRPL8
	YCR071C	IMG2
	YDR322W	MRPL35
	YGR076C	MRPL25
	YCR046C	IMG1
	YBR122C	MRPL36
	YLR312WA	YLR312WA
	YMR193W	MRPL24
	YML009C	MRPL39
	YLR439W	MRPL4
	YGR220C	MRPL9
	YKR085C	MRPL20
	YDR462W	MRPL28
	YMR225C	MRPL44
	YNL005C	MRP7
	YDR116C	MRPL1
	YKR006C	MRPL13
	YNL284C	MRPL10
	YML025C	YML6
	YHR147C	MRPL6
	YDR296W	MHR1
	YDR405W	MRP20
	YNL177C	MRPL22
	YLR189C	UGT51
	YMR024W	MRPL3
	YPR100W	MRPL51
	YCL014W	BUD3
	YBL038W	MRPL16
	YPL173W	MRPL40
	YPL183WA	YPL183WA
3	YPR187W	RPO26
	YPR010C	RPA135
	YDL150W	RPC53
	YOR210W	RPB10
	YIL021W	RPB3
	YOR340C	RPA43
	YJL148W	RPA34
	YJR063W	RPA12
	YDR045C	RPC11
	YJL140W	RPB4
	YKR025W	RPC37
	YPR110C	RPC40
	YNL151C	RPC31
	YOR224C	RPB8
	YNL248C	RPA49
	YOR341W	RPA190
	YDL115C	IWR1
	YDR156W	RPA14
	YKL144C	RPC25
	YGL070C	RPB9
	YOL005C	RPB11
	YNR003C	RPC34
	YDR404C	RPB7
	YOR207C	RET1
	YFR030W	MET10
	YJL011C	RPC17
	YPR190C	RPC82
	YNL113W	RPC19
	YOR116C	RPO31
	YGR063C	SPT4
	YGR005C	TFG2
	YGR186W	TFG1
	YDR005C	MAF1
	YBR154C	RPB5
	YHR143WA	YHR143WA
	YGL043W	DST1
	YHL021C	YHL021C
	YML010W	SPT5
	YDL140C	RPB1
	YOR151C	RPB2
	YPL129W	ANC1
4	YDR398W	UTP5
	YLR003C	YLR003C
	YMR093W	UTP15
	YOL010W	RCL1
	YLR186W	EMG1
	YPL126W	NAN1
	YGR128C	UTP8
	YBL004W	UTP20
	YLR409C	UTP21
	YLR129W	DIP2
	YLR222C	CST29
	YER082C	KRE31
	YPR137W	RRP9
	YPR144C	UTP19
	YDR324C	UTP4
	YPL217C	BMS1
	YNL075W	IMP4
	YOR078W	BUD21
	YKR060W	UTP30
	YCR057C	PWP2
	YJR002W	MPP10
	YMR128W	ECM16
	YDR449C	UTP6
	YJL109C	UTP10
	YGL171W	ROK1
	YDL148C	NOP14
	YLR197W	SIK1
	YEL055C	POL5
	YLL011W	SOF1
	YHR196W	UTP9
	YJL069C	UTP18
	YHR148W	IMP3
	YDR064W	RPS13
	YBR247C	ENP1
	YPL012W	RRP12
	YOR096W	RPS7A
	YBL072C	RPS8A
	YNL132W	KRE33
	YPL266W	DIM1
	YOR145C	PNO1
	YGR090W	UTP22
	YDR299W	BFR2
	YOR310C	NOP58
	YCL059C	KRR1
	YDL014W	NOP1
	YGR145W	ENP2
5	YGR054W	YGR054W
	YJR145C	RPS4A
	YCL037C	SRO9
	YBR048W	RPS11B
	YML024W	RPS17A
	YDR064W	RPS13
	YBR247C	ENP1
	YPL012W	RRP12
	YOR096W	RPS7A
	YPL081W	RPS9A
	YLR264W	RPS28B
	YPL204W	HRR25
	YNL088W	TOP2
	YBL072C	RPS8A
	YDL060W	TSR1
	YML026C	RPS18B
	YBR189W	RPS9B
	YMR116C	ASC1
	YMR230W	RPS10B
	YLR367W	RPS22B
	YDR194C	MSS116
	YDR025W	RPS11A
	YNL132W	KRE33
	YOR056C	NOB1
	YER102W	RPS8B
	YPL266W	DIM1
	YOR145C	PNO1
	YNL207W	RIO2
	YKL143W	LTV1
	YAL036C	FUN11
	YNL308C	KRI1
	YOR293W	RPS10A
	YIL069C	RPS24B
	YJL190C	RPS22A
	YDL014W	NOP1
	YGL120C	PRP43
	YHL034C	SBP1
	YCL011C	GBP2
	YLR186W	EMG1
	YBL004W	UTP20
	YLR129W	DIP2
	YER082C	KRE31
	YPR144C	UTP19
	YDR324C	UTP4
	YPL217C	BMS1
	YKR060W	UTP30
	YCR057C	PWP2
	YJR002W	MPP10
	YMR128W	ECM16
	YDR449C	UTP6
	YJL109C	UTP10
	YDL148C	NOP14
	YLR197W	SIK1
	YLL011W	SOF1
	YHR196W	UTP9
	YHR148W	IMP3
	YDR064W	RPS13
	YBR247C	ENP1
	YPL012W	RRP12
	YOR096W	RPS7A
	YBL072C	RPS8A
	YNL132W	KRE33
	YPL266W	DIM1
	YOR145C	PNO1
	YGR090W	UTP22
	YDR299W	BFR2
	YOR310C	NOP58
	YCL059C	KRR1
	YDL014W	NOP1
	YGR145W	ENP2
6	YDR359C	VID21
	YCR060W	YCR060W
	YLR385C	YLR385C
	YAL011W	FUN36
	YLR052W	IES3
	YOR244W	ESA1
	YFL024C	EPL1
	YER092W	IES5
	YNL215W	IES2
	YML041C	VPS71
	YEL018W	EAF5
	YLR085C	ARP6
	YDL002C	NHP10
	YDR485C	VPS72
	YNL136W	YNL136W
	YNL059C	ARP5
	YOR141C	ARP8
	YBR231C	AOR1
	YPR023C	EAF3
	YHR090C	YNG2
	YDR190C	RVB1
	YHR034C	YHR034C
	YPL235W	RVB2
	YDR334W	SWR1
	YJR082C	EAF6
	YGL150C	INO80
	YFL013C	IES1
	YGR002C	GOD1
	YNL107W	YAF9
	YJL081C	ARP4
	YFL039C	ACT1
	YPR023C	EAF3
	YPL129W	ANC1
7	YGL129C	RSM23
	YDL045WA	YDL045WA
	YBL090W	MRP21
	YBR251W	MRPS5
	YJR101W	RSM26
	YDR347W	MRP1
	YMR158W	MRPS8
	YNR036C	YNR036C
	YBR146W	MRPS9
	YPL118W	MRP51
	YKL003C	MRP17
	YNL306W	MRPS18
	YER050C	RSM18
	YGR165W	MRPS35
	YGR215W	RSM27
	YJR113C	RSM7
	YNL137C	NAM9
	YOR158W	PET123
	YNR037C	RSM19
	YHL004W	MRP4
	YDR175C	RSM24
	YPL013C	MRPS16
	YDR337W	MRPS28
	YKL155C	RSM22
	YIL093C	RSM25
	YMR188C	MRPS17
	YDR041W	RSM10
	YGR084C	MRP13
	YDR036C	EHD3
	YNL081C	YNL081C
	YOR204W	DED1
8	YCR014C	POL4
	YGR232W	NAS6
	YDL007W	RPT2
	YKL145W	RPT1
	YDR363WA	YDR363WA
	YLR421C	RPN13
	YDL013W	HEX3
	YNL250W	RAD50
	YGL048C	RPT6
	YDR320C	SWA2
	YHR027C	RPN1
	YFR010W	UBP6
	YFR004W	RPN11
	YOR261C	RPN8
	YEL021W	URA3
	YDL147W	RPN5
	YIL075C	RPN2
	YDR427W	RPN9
	YHL030W	ECM29
	YHR200W	RPN10
	YMR191W	SPG5
	YER021W	RPN3
	YOR117W	RPT5
	YDL097C	RPN6
	YOR259C	RPT4
	YPR108W	RPN7
	YDR394W	RPT3
	YMR314W	PRE5
	YDR108W	GSG1
	YHR027C	RPN1
	YER012W	PRE1
9	YER022W	SRB4
	YGL025C	PGD1
	YDR443C	SSN2
	YGL127C	SOH1
	YGR104C	SRB5
	YOL135C	MED7
	YGL151W	NUT1
	YHR058C	MED6
	YOL051W	GAL11
	YBL093C	ROX3
	YNR010W	CSE2
	YMR112C	MED11
	YBR193C	MED8
	YBR253W	SRB6
	YNL236W	SIN4
	YDL005C	MED2
	YPR168W	NUT2
	YOR174W	MED4
	YPR070W	MED1
	YPL042C	SSN3
	YLR071C	RGR1
	YDR308C	SRB7
	YCR081W	SRB8
	YNL025C	SSN8
	YML007W	YAP1
	YHR041C	SRB2
	YDR448W	ADA2
	YGR252W	GCN5
	YGL112C	TAF6
10	YDR145W	TAF61
	YER148W	SPT15
	YLR055C	SPT8
	YMR227C	TAF67
	YBR198C	TAF90
	YPL254W	HFI1
	YDR167W	TAF25
	YDR448W	ADA2
	YML015C	TAF40
	YBR081C	SPT7
	YMR005W	MPT1
	YML098W	TAF19
	YCL010C	SGF29
	YGL112C	TAF6
	YGR252W	GCN5
	YOL148C	SPT20
	YMR236W	TAF17
	YPL047W	YPL047W
	YHR099W	TRA1
	YDR176W	NGG1
	YCR082W	AHC2
	YPL011C	TAF47
	YDR392W	SPT3
	YGR274C	TAF145
	YMR223W	UBP8
	YGL066W	SGF73
	YDR448W	ADA2
	YGR252W	GCN5
11	YKL193C	SDS22
	YGR156W	PTI1
	YOR179C	YOR179C
	YPL137C	GIP3
	YNL233W	BNI4
	YNL317W	PFS2
	YKL059C	MPE1
	YAR014C	BUD14
	YER133W	GLC7
	YPR107C	YTH1
	YDR195W	REF2
	YLR277C	YSH1
	YAL043C	PTA1
	YJR093C	FIP1
	YNL222W	SSU72
	YKR002W	PAP1
	YMR311C	GLC8
	YDR301W	CFT1
	YLR115W	CFT2
	YMR061W	RNA14
	YKL018W	SWD2
	YLR448W	RPL6B
12	YGL011C	SCL1
	YOL038W	PRE6
	YPR103W	PRE2
	YMR314W	PRE5
	YKL168C	KKQ8
	YBL041W	PRE7
	YOR362C	PRE10
	YFR050C	PRE4
	YER012W	PRE1
	YOR157C	PUP1
	YJL001W	PRE3
	YDR400W	URH1
	YML092C	PRE8
	YGR253C	PUP2
	YFL007W	BLM3
	YER094C	PUP3
	YGR135W	PRE9
	YCR076C	YCR076C
	YER021W	RPN3
13	YLR357W	RSC2
	YIL126W	STH1
	YCR020WB	HTL1
	YLR033W	RSC58
	YPR034W	ARP7
	YMR091C	NPL6
	YFR037C	RSC8
	YLR321C	SFH1
	YDR303C	RSC3
	YMR033W	ARP9
	YGR275W	RTT102
	YKR008W	RSC4
	YHR056C	RSC30
	YGR056W	RSC1
	YOR156C	NFI1
	YML127W	RSC9
	YCR052W	RSC6
	YDR225W	HTA1
	YBR245C	ISW1
	YPL082C	MOT1
	YKR001C	VPS1
14	YER164W	CHD1
	YMR172W	HOT1
	YIL035C	CKA1
	YOR123C	LEO1
	YKL064W	MNR2
	YGL207W	SPT16
	YLR418C	CDC73
	YOR061W	CKA2
	YLR407W	YLR407W
	YBR279W	PAF1
	YOR039W	CKB2
	YGL244W	RTF1
	YML069W	POB3
	YOL145C	CTR9
	YGL019W	CKB1
15	YOL142W	RRP40
	YCR035C	RRP43
	YHR081W	LRP1
	YOR076C	SKI7
	YGR195W	SKI6
	YOR001W	RRP6
	YHR069C	RRP4
	YDL111C	RRP42
	YNL232W	CSL4
	YDR280W	RRP45
	YNR024W	YNR024W
	YOL021C	DIS3
	YGR158C	MTR3
	YGR095C	RRP46
	YNL189W	SRP1
	YPR189W	SKI3
16	YOL006C	TOP1
	YLR095C	IOC2
	YFR013W	IOC3
	YDR081C	PDC2
	YOR304W	ISW2
	YMR044W	IOC4
	YDR224C	HTB1
	YBR245C	ISW1
	YPL082C	MOT1
	YJL065C	YJL065C
	YOL017W	ESC8
	YKR001C	VPS1
	YGL133W	ITC1
	YBR245C	ISW1
	YIL126W	STH1
	YFR037C	RSC8
17	YKL060C	FBA1
	YMR113W	FOL3
	YML028W	TSA1
	YLR044C	PDC1
	YFR053C	HXK1
	YHR174W	ENO2
	YLR153C	ACS2
	YGR192C	TDH3
	YEL034W	HYP2
	YCR012W	PGK1
	YKL152C	GPM1
	YLL050C	COF1
	YHR009C	YHR009C
18	YAL013W	DEP1
	YDL076C	RXT3
	YPL181W	CTI6
	YOL004W	SIN3
	YPL139C	UME1
	YBR095C	RXT2
	YNL097C	PHO23
	YIL084C	SDS3
	YMR075W	RCO1
	YNL330C	RPD3
	YMR263W	SAP30
	YDR207C	UME6
	YPR023C	EAF3
19	YLR381W	CTF3
	YPL018W	CTF19
	YPR046W	MCM16
	YBR107C	IML3
	YDR383C	NKP1
	YGR179C	OKP1
	YLR315W	NKP2
	YBR211C	AME1
	YDR318W	MCM21
	YDR254W	CHL4
	YJR135C	MCM22
20	YFR036W	CDC26
	YHR166C	CDC23
	YDR118W	APC4
	YKL022C	CDC16
	YLR102C	APC9
	YLR127C	APC2
	YIR025W	MND2
	YBL084C	CDC27
	YGL240W	DOC1
	YOR249C	APC5
	YNL172W	APC1
21	YOR115C	TRS33
	YDR246W	TRS23
	YML077W	BET5
	YMR218C	TRS130
	YDR108W	GSG1
	YDR472W	TRS31
	YKR068C	BET3
	YGR166W	KRE11
	YDR407C	TRS120
	YBR254C	TRS20
22	YNL031C	HHT2
	YLL022C	HIF1
	YOL054W	PSH1
	YEL056W	HAT2
	YBR010W	HHT1
	YNL030W	HHF2
	YBR009C	HHF1
	YPL001W	HAT1
	YBL003C	HTA2
	YDR174W	HMO1
23	YAR002W	NUP60
	YLR347C	KAP95
	YGR202C	PCT1
	YOR098C	NUP1
	YNL189W	SRP1
	YML060W	OGG1
	YPL020C	ULP1
	YMR308C	PSE1
	YGR081C	YGR081C
	YLR335W	NUP2
24	YNL078W	NIS1
	YBL002W	HTB2
	YMR139W	RIM11
	YGL241W	KAP114
	YLR133W	CKI1
	YOL070C	YOL070C
	YCL024W	KCC4
	YKR048C	NAP1
	YDR507C	GIN4
	YOL012C	HTZ1
25	YER104W	RTT105
	YNL312W	RFA2
	YJL173C	RFA3
	YBR114W	RAD16
	YDL156W	YDL156W
	YDR499W	LCD1
	YHR164C	DNA2
	YCR028CA	RIM1
	YML032C	RAD52
	YAR007C	RFA1
26	YNR023W	SNF12
	YFL049W	SWP82
	YOR290C	SNF2
	YDR073W	SNF11
	YNL027W	CRZ1
	YPL016W	SWI1
	YJL176C	SWI3
	YBR289W	SNF5
	YHL025W	SNF6
	YGL013C	PDR1
	YPL129W	TAF14
	YMR033W	ARP9
	YGR275W	RTT102
	YPR034W	ARP7
27	YLR192C	HCR1
	YNL244C	SUI1
	YPR041W	TIF5
	YDR429C	TIF35
	YMR309C	NIP1
	YOR361C	PRT1
	YMR146C	TIF34
	YBR079C	RPG1
	YAL035W	FUN12
	YDR091C	RLI1
	YER025W	GCD11
	YOR204W	DED1
	YER102W	RPS8B
	YDR025W	RPS11A
	YOR096W	RPS7A
	YJR145C	RPS4A
	YBL072C	RPS8A
28	YBL018C	POP8
	YBR167C	POP7
	YBR257W	POP4
	YAL033W	POP5
	YDR478W	SNM1
	YHR062C	RPP1
	YNL282W	POP3
	YNL221C	POP1
	YGR030C	POP6
29	YGL092W	NUP145
	YGL100W	SEH1
	YJR042W	NUP85
	YPL169C	MEX67
	YDL116W	NUP84
	YDL195W	SEC31
	YLR208W	SEC13
	YKL057C	NUP120
	YBL104C	YBL104C
30	YGL061C	DUO1
	YGR113W	DAM1
	YKR083C	DAD2
	YDR016C	DAD1
	YKL138CA	HSK3
	YKL052C	ASK1
	YDR201W	SPC19
	YBR233WA	DAD3
	YKR037C	SPC34
31	YDR211W	GCD6
	YPL237W	SUI3
	YOR260W	GCD1
	YLR291C	GCD7
	YER025W	GCD11
	YGR083C	GCD2
	YJR007W	SUI2
	YKR026C	GCN3
	YLR215C	CDC123
32	YDL185W	TFP1
	YBR072W	HSP26
	YPR036W	VMA13
	YOR332W	VMA4
	YKL080W	VMA5
	YHR039CA	VMA10
	YBR127C	VMA2
	YGR020C	VMA7
	YEL051W	VMA8
33	YOR144C	ELG1
	YMR078C	CTF18
	YOL094C	RFC4
	YNL290W	RFC3
	YJR068W	RFC2
	YOR217W	RFC1
	YMR181C	YMR181C
	YBR087W	RFC5
34	YPL010W	RET3
	YGL137W	SEC27
	YNL287W	SEC21
	YFR051C	RET2
	YDR238C	SEC26
	YDL145C	COP1
	YER122C	GLO3
	YIL076W	SEC28
35	YBR102C	EXO84
	YPR055W	SEC8
	YJL085W	EXO70
	YDR166C	SEC5
	YER008C	SEC3
	YGL233W	SEC15
	YIL068C	SEC6
	YLR166C	SEC10
36	YJL061W	NUP82
	YER107C	GLE2
	YGL172W	NUP49
	YGR119C	NUP57
	YIL115C	NUP159
	YJL041W	NSP1
	YMR047C	NUP116
	YFR002W	NIC96
37	YNL251C	NRD1
	YJL050W	MTR4
	YLR430W	SEN1
	YPL190C	NAB3
	YOL115W	PAP2
	YDL175C	AIR2
	YML117W	NAB6
	YIL079C	AIR1
38	YNL051W	COG5
	YML071C	DOR1
	YNL041C	COD2
	YER157W	SEC34
	YGL223C	COD3
	YPR105C	COD1
	YGL005C	COD5
	YGR120C	SEC35
39	YLR079W	SIC1
	YBR135W	CKS1
	YMR199W	CLN1
	YLR210W	CLB4
	YPL256C	CLN2
	YKR091W	SRL3
	YDL155W	CLB3
	YBR160W	CDC28
40	YML062C	MFT1
	YCL011C	GBP2
	YNL139C	RLR1
	YDL084W	SUB2
	YNL004W	HRB1
	YHR167W	THP2
	YDR138W	HPR1
	YNL253W	TEX1
	YDR381W	YRA1
41	YCR043C	YCR043C
	YJR075W	HOC1
	YPL050C	MNN9
	YGR231C	PHB2
	YGR132C	PHB1
	YJL183W	MNN11
	YDR245W	MNN10
	YEL036C	ANP1
42	YIL017C	VID28
	YBR105C	VID24
	YMR135C	GID8
	YIL097W	FYV10
	YDL176W	YDL176W
	YDR255C	RMD5
	YGL227W	VID30
	YCL039W	GID7
43	YAL007C	ERP2
	YDL018C	ERP3
	YGL200C	EMP24
	YOR016C	ERP4
	YHR110W	ERP5
	YAR002CA	ERP1
	YML012W	ERV25
	YGL142C	GPI10
44	YBL058W	SHP1
	YBR170C	NPL4
	YDR049W	YDR049W
	YML013W	SEL1
	YDL126C	CDC48
	YKL213C	DOA1
	YGR048W	UFD1
	YDL190C	UFD2
45	YAR003W	SWD1
	YPL138C	SPP1
	YKL018W	SWD2
	YDR469W	SDC1
	YHR119W	SET1
	YBR175W	SWD3
	YBR258C	SHG1
	YLR015W	BRE2
46	YDR299W	BFR2
	YDL213C	NOP6
	YOR310C	NOP58
	YCL059C	KRR1
	YPR112C	MRD1
	YDL014W	NOP1
	YGR145W	ENP2
	YER127W	LCP5
	YJR145C	RPS4A
	YDR064W	RPS13
	YOR096W	RPS7A
	YNL132W	KRE33
	YLR197W	SIK1
	YDL148C	NOP14
	YPL217C	BMS1
	YJR002W	MPP10
	YBL004W	UTP20
	YLR186W	EMG1
	YDR449C	UTP6
47	YJL111W	CCT7
	YDL143W	CCT4
	YNL212W	VID27
	YOR281C	PLP2
	YHR104W	GRE3
	YIL142W	CCT2
	YMR028W	TAP42
	YDR188W	CCT6
48	YBR234C	ARC40
	YIL062C	ARC15
	YNR035C	ARC35
	YLR370C	ARC18
	YDL029W	ARP2
	YJR065C	ARP3
	YKL013C	ARC19
49	YPR171W	BSP1
	YDR129C	SAC6
	YFL039C	ACT1
	YNL106C	INP52
	YNL208W	YNL208W
	YLR429W	CRN1
	YCR088W	ABP1
	YCR009C	RVS161
	YBR109C	CMD1
	YGL106W	MLC1
50	YAL021C	CCR4
	YNR052C	POP2
	YJR011C	YJR011C
	YGR134W	CAF130
	YCR093W	CDC39
	YNL288W	CAF40
	YER068W	MOT2
51	YDL134C	PPH21
	YOR014W	RTS1
	YML109W	ZDS2
	YMR273C	ZDS1
	YGL190C	CDC55
	YAL016W	TPD3
	YDL188C	PPH22
52	YKR029C	SET3
	YCR033W	SNT1
	YOL068C	HST1
	YGL194C	HOS2
	YDR155C	CPR1
	YBR103W	SIF2
	YIL112W	HOS4
53	YLL040C	VPS13
	YBR109C	CMD1
	YGL242C	YGL242C
	YMR109W	MYO5
	YFR014C	CMK1
	YLR433C	CNA1
	YKL129C	MYO3
54	YKL110C	KTI12
	YPL086C	ELP3
	YLR384C	IKI3
	YGR200C	ELP2
	YHR187W	IKI1
	YPL101W	ELP4
	YMR312W	ELP6
55	YPL210C	SRP72
	YML105C	SEC65
	YDL051W	LHP1
	YPL243W	SRP68
	YPR088C	SRP54
	YDL092W	SRP14
	YKL122C	SRP21
56	YAL002W	VPS8
	YLR396C	VPS33
	YMR231W	PEP5
	YLR148W	PEP3
	YDR080W	VPS41
	YDL077C	VAM6
	YPL045W	VPS16
57	YGL115W	SNF4
	YDR028C	REG1
	YER027C	GAL83
	YDR422C	SIP1
	YGL208W	SIP2
	YDR477W	SNF1
	YER129W	SAK1
58	YKL191W	DPH2
	YAL020C	ATS1
	YDR385W	EFT2
	YGR187C	HGH1
	YBL071WA	KTI11
	YOR133W	EFT1
	YIL103W	DPH1
59	YAL026C	DRS2
	YKL119C	VPH2
	YPR149W	NCE102
	YEL013W	VAC8
	YLR447C	VMA6
	YMR054W	STV1
	YOR270C	VPH1
60	YJR092W	BUD4
	YDL225W	SHS1
	YLR314C	CDC3
	YJL060W	BNA3
	YCR002C	CDC10
	YJR076C	CDC11
	YHR107C	CDC12
61	YLR440C	SEC39
	YLR268W	SEC22
	YDR498C	SEC20
	YGL145W	TIP20
	YGL098W	USE1
	YOR075W	UFE1
	YNL258C	DSL1
	YKL196C	YKT6
62	YGR078C	PAC10
	YML094W	GIM5
	YNL153C	GIM3
	YJL179W	PFD1
	YLR200W	YKE2
	YFL023W	FYV11
	YEL003W	GIM4
63	YKR021W	ALY1
	YJL084C	ALY2
	YHR131C	YHR131C
	YOR124C	UBP2
	YOR138C	RUP1
	YER125W	RSP5
64	YBR130C	SHE3
	YKL130C	SHE2
	YPR188C	MLC2
	YGL106W	MLC1
	YHR023W	MYO1
	YAL029C	MYO4
65	YMR125W	STO1
	YDR432W	NPL3
	YPL178W	CBC2
	YER165W	PAB1
	YKL214C	YRA2
	YGL049C	TIF4632
	YPL190C	NAB3
	YNL251C	NRD1
	YCL011C	GBP2
66	YPR029C	APL4
